n_estimators,max_depth,min_samples_leaf,max_features,Test_RPS_Mean,Train_RPS_Mean,learning_rate
512,8,128,sqrt,0.18581684286881214,0.006454079995744824,0.01
512,8,64,sqrt,0.18795956028108152,0.004077146385686874,0.01
512,8,16,sqrt,0.186948266177182,0.0024049994030842857,0.01
512,8,4,sqrt,0.18827808639027355,0.0019876092396145834,0.01
512,6,128,sqrt,0.18270053317692983,0.024577391709728492,0.01
512,6,64,sqrt,0.18122632370022,0.021710567979605095,0.01
512,6,16,sqrt,0.18121229993492016,0.019400195966607255,0.01
512,6,4,sqrt,0.18392464750758034,0.018889758590880757,0.01
512,8,128,sqrt,0.17890454362166255,0.03261642136779689,0.005
512,8,64,sqrt,0.17777437582734665,0.02549263259625749,0.005
512,8,16,sqrt,0.17658076654495927,0.01943050718349597,0.005
512,8,4,sqrt,0.1765755630822201,0.018122509002124376,0.005
512,6,128,sqrt,0.1758555951696501,0.06446045657401837,0.005
512,6,64,sqrt,0.17800962443519563,0.060100950790116854,0.005
512,6,16,sqrt,0.17762261202403185,0.056579071236340296,0.005
512,6,4,sqrt,0.17776874494978304,0.05584377119883133,0.005
