n_estimators,max_depth,min_samples_leaf,max_features,Test_MAE,Train_MAE,learning_rate
512,8,128,log2,0.7569960631327536,0.2948093626308556,0.01
512,8,64,log2,0.7567297169415624,0.24494611639450822,0.01
512,8,16,log2,0.755900685172144,0.2080643800934769,0.01
512,8,4,log2,0.754530767979167,0.199940990790379,0.01
512,6,128,log2,0.758128457022811,0.43329741506967173,0.01
512,6,64,log2,0.7520907692548854,0.41153599423927373,0.01
512,6,16,log2,0.7553957902448646,0.3990646859959949,0.01
512,6,4,log2,0.7570797732109021,0.39660037704386686,0.01
512,8,128,log2,0.7684701222581696,0.45079134292923406,0.005
512,8,64,log2,0.7701831913511024,0.4070790747957134,0.005
512,8,16,log2,0.7672087198157173,0.37586682389675224,0.005
512,8,4,log2,0.7635002391234926,0.36831864495704125,0.005
512,6,128,log2,0.7782355512578597,0.5724372083829689,0.005
512,6,64,log2,0.7701653046160518,0.5575833837564379,0.005
512,6,16,log2,0.7720832968405204,0.5492518377272805,0.005
512,6,4,log2,0.7780142153358781,0.5479022048917256,0.005
