n_estimators,max_depth,min_samples_leaf,max_features,Test_RPS_Mean,Train_RPS_Mean
512,12,32,sqrt,0.16294703475668462,0.04050947190574683
512,12,16,sqrt,0.1645014779121071,0.025457908970198354
512,12,8,sqrt,0.16367784779632136,0.017249503838100404
512,12,4,sqrt,0.16458639949114387,0.013506202018866107
512,12,2,sqrt,0.16441650766109958,0.011819986785529263
512,12,1,sqrt,0.16439167384157272,0.011113208982412331
512,8,32,sqrt,0.16301656119324745,0.08079064082761563
512,8,16,sqrt,0.1628235644755582,0.07511864322879873
512,8,8,sqrt,0.16290431420633722,0.07278007868971667
512,8,4,sqrt,0.162918159603622,0.07139772707932353
512,8,2,sqrt,0.16337950525504505,0.07101165293856827
512,8,1,sqrt,0.16259439257341454,0.07079666811144102
512,4,32,sqrt,0.16648865679910815,0.1516625433671762
512,4,16,sqrt,0.16653623464959114,0.15159139400236638
512,4,8,sqrt,0.16652832511190485,0.15156432950850743
512,4,4,sqrt,0.16651956538016702,0.15154934067090114
512,4,2,sqrt,0.166511915393484,0.1515480756122014
512,4,1,sqrt,0.16651096729071357,0.15154772803355335
