n_estimators,max_depth,min_samples_leaf,max_features,Test_MAE,Train_MAE
512,12,32,log2,0.7616231013042393,0.3721290470143273
512,12,16,log2,0.7618983558758506,0.29097419761781046
512,12,8,log2,0.762358480698296,0.24976718942337492
512,12,4,log2,0.7631000143486327,0.22737270058206063
512,12,2,log2,0.7621826356965667,0.2188706142673141
512,12,1,log2,0.7609148619116022,0.21402213192079544
512,8,32,log2,0.7743316966752637,0.5571919758352702
512,8,16,log2,0.7762766591103404,0.541735850153791
512,8,8,log2,0.7791545573560015,0.5367564657004672
512,8,4,log2,0.7738157191768886,0.5326390353916163
512,8,2,log2,0.7744426367154197,0.5302464085896696
512,8,1,log2,0.7721453158836749,0.5307669983388287
512,4,32,log2,0.8492792694366423,0.8195717805799041
512,4,16,log2,0.848822976739395,0.8194329132683903
512,4,8,log2,0.8488705479837292,0.8191325252977893
512,4,4,log2,0.8489528920075493,0.8190183652520341
512,4,2,log2,0.84896672661427,0.8190193780703178
512,4,1,log2,0.8489579226994529,0.8190179881263533
